num,title,publishDate,articleId,isYW
1,关于义乌“义路通”公路综合巡查特色场景建设采购项目中标(成交)结果公告[浙江省成套招标代理有限公司],1702430597000,o1Hnu4sk1pRzDegR4NfjiA==,0
2,关于浙江省自然资源征收中心新建杭州至温州铁路义乌至温州段工程地形数据采集及勘界定标及不动产权证书办理项目中标(成交)结果公告[浙江省国际技术设备招标有限公司],1702291821000,UZHwQInmEuEAuMCxdoPkzg==,0
3,关于义乌市疾病预防控制中心全自动高精度病毒载量检测系统采购中标(成交)结果公告[浙江开平企业管理咨询有限公司],1702276851000,BoBHNQsDtdrFq5aJ+5SCcA==,0
4,关于义乌市博物馆新馆、美术馆办公家具采购项目中标(成交)结果公告[义乌市政府采购中心],1702011963000,CyWWu6g6/6Rnw8Ryn8DKKQ==,0
5,关于义乌市中医医院彩色超声诊断仪采购项目中标(成交)结果公告[义乌市政府采购中心],1701928906000,ODChYUYuSaRh0YeWJCc16w==,0
6,关于义乌市中医医院医共体北苑院区、城西院区彩色超声诊断仪采购项目中标(成交)结果公告[义乌市政府采购中心],1701928744000,7rZ8arc+BCf8XPp2WCJ1hA==,0
7,关于义乌市公安局交通警察大队2023年义乌市智能交通设施零星改建项目中标(成交)结果公告[义乌市政府采购中心],1701847269000,mZzKq6Hg0ySawG7rt4twUw==,0
8,关于浙江省机电技师学院上溪校区机房提升改造项目中标(成交)结果公告[义乌市政府采购中心],1701846889000,cp+ilFrldsRB3re39E2+tg==,0
9,关于义乌市福田街道2024年联港社区清扫保洁服务项目中标(成交)结果公告[浙江至诚工程咨询有限责任公司],1701834965000,cv0CQLht9GBoYwfdEvgw2A==,0
10,关于义乌市人民法院义乌市人民法院语音识别建设采购项目项目中标(成交)结果公告[浙江至诚工程咨询有限责任公司],1701766962000,MPrSFZK0HrfX0wJfvlFNUA==,0
11,关于义乌市人民法院直接送达服务采购项目中标(成交)结果公告[浙江至诚工程咨询有限责任公司],1701765460000,WhR0NObiRY6pRV0RTMfzJA==,0
12,关于义乌市中医医院医共体北苑院区胃肠镜采购项目中标(成交)结果公告[义乌市政府采购中心],1701757635000,gGQ6YVuZ9iKfgMFBw4/9Ww==,0
13,关于义乌市中医医院电子胃肠镜采购项目中标(成交)结果公告[义乌市政府采购中心],1701757509000,4Et+it9i4/HDJsRlwjqK2Q==,0
14,关于义乌市公安局2023年“雪亮工程”扩量项目监理项目中标(成交)结果公告[义乌市政府采购中心],1701419398000,/fB1kWpBNXyk3ccR80RgsA==,0
