num,title,publishDate,articleId,isYW
1,中国邮政集团有限公司浙江省分公司(2023-2025年度)整修改造工程施工服务入围采购项目（标包5：衢州、标包7：义乌、标包8：丽水）（第三次）,1702431190000,9h6U4bHngt04GjidD1wbwg==,0
2,关于义乌市国有资本运营有限公司办公家具采购项目的公开招标公告[义乌产权交易所有限公司],1702371189000,WJ/f3KkLH7ibw+rIR5b/qQ==,0
3,关于国际商贸城客运中心国际商贸城客运中心对对配电房七氟丙烷气体灭火系统钢瓶进行检测；对水泵房二氧化碳增压系统钢瓶进行检测。项目的更正公告[义乌产权交易所有限公司],1702358205000,mruEiVS6mbBU0RneOrDLVQ==,0
4,2023年浙江省烟草公司金华市公司2023年度金华烟草房屋维修项目(义乌办公大楼维修)中标结果公告,1702345911000,F9atsnhVQP+q8LefAkKmDA==,0
5,关于浙江义乌市自来水有限公司固体聚硅锰氯化铝钾项目废标公告[义乌产权交易所有限公司招投标中心],1702263635000,tpbVyJhjRttz9Hx6/CI9vA==,0
6,义乌市福田大厦A座物业服务项目（二次招标）的招标公告（非政府采购项目）,1702022982000,kgdiFrtmJQK3WjoJCUpdFg==,0
7,关于北苑菜市场改造提升工程中央空调采购及安装项目中标候选人公示[义乌产权交易所有限公司招投标中心],1702016241000,fQ1wUvdunHu0DRf4m4rfIg==,0
8,义乌机场旅客安置包车服务项目采购公告,1701944527000,IET1n0PsQhghMqGUwFLNew==,0
9,义乌市福田大厦A座物业服务项目的流标公告,1701927569000,HgJjTM8T1xDw4mYuhNAinQ==,0
10,关于浙江恒风集团有限公司汽车维修分公司公营车辆轮胎采购项目中标(成交)结果公告[义乌产权交易所有限公司招投标中心],1701927501000,TZocC8T2G2qeejVr+cm3Ww==,0
11,义乌市恒风新能源电动汽车公共充电设施新建项目（2023-2025）—一体式直流充电桩采购安装项目合同公告,1701915816000,Hx3uB+K3Fa4QY0+Dk+29AA==,0
