num,title,publishDate,articleId,isYW
1,关于义乌市公安局指尖侦查系统采购项目的公开招标公告[浙江至诚工程咨询有限责任公司],1702370191000,reF6aNVwQ5Ajg/9MYu0jAw==,0
2,关于义乌民用航空站散装货物装载机（电动式）采购项目的公开招标公告[浙江明达工程造价咨询有限公司],1702366287000,5WK8jVzM5xUt5XnwPr+yHA==,0
3,关于义乌市招商智管综合集成应用项目的公开招标公告[建经投资咨询有限公司],1702284892000,UDGs9bLBt22GfMEY6oOIRQ==,0
4,关于赤岸镇区域安保服务采购项目的公开招标公告[义乌新纪元工程咨询有限公司],1702025296000,u7DPepVzjvb41bozKMeYFQ==,0
5,关于义乌市医疗保障中心出生缺陷补充保险项目的公开招标公告[义乌市政府采购中心],1702019966000,2d0LqAAzZ8xKD6AL+SdXqg==,0
6,关于浙江大学医学院附属第四医院紫龙苑小区物业管理服务的公开招标公告[义乌市政府采购中心],1702019509000,QedqgQFlRT8CQAHXXteo9w==,0
7,关于义乌市医疗保障局引入第三方机构参与医保基金监管项目的公开招标公告[义乌市政府采购中心],1701940781000,Xji6Xcuy+t1E23e+EL4FIw==,0
8,关于义乌市医疗保障中心出生缺陷补充保险项目的公开招标公告[义乌市政府采购中心],1701853267000,HqrPF2mW6hRnfNV+eKN6cw==,0
9,关于义乌市北苑街道迎宾社区清扫保洁服务项目的公开招标公告[杭州市建设工程管理集团有限公司],1701844534000,DBRJxJja2/CtYslUTyOT4g==,0
10,关于义乌市中心医院CT维保服务采购的公开招标公告[浙江开平企业管理咨询有限公司],1701755830000,R2E9/Bho2VQKXb5dPPdbnA==,0
11,关于义乌市中心医院DSA维保服务采购的公开招标公告[浙江开平企业管理咨询有限公司],1701755803000,ozzNDCW5WjmmVD4nzsTzAA==,0
12,关于义乌市稠城街道城市管理安保服务采购项目的公开招标公告[浙江至诚工程咨询有限责任公司],1701745478000,V85yOV8qSM68+7tw0YOpLA==,0
13,关于义乌市福田街道河道保洁服务项目的公开招标公告[浙江至诚工程咨询有限责任公司],1701412892000,XdUS8q77PwznuCqyZwvNTQ==,0
14,关于义乌市福田街道2024年诚信社区等社区两定四分点垃圾清运项目（第二次）的公开招标公告[浙江至诚工程咨询有限责任公司],1701412885000,nY5sEcp7fXAKw6KSXEJ79Q==,0
15,关于义乌市后宅街道城镇及工业区域（环城北路以北）雨污管网运维服务项目的公开招标公告[浙江至诚工程咨询有限责任公司],1701396597000,DDSOLXwqewjwjpxTX6p+JA==,0
16,关于义乌自由贸易发展区管理委员会2024年度招商项目尽职调查服务项目的公开招标公告[科信联合工程咨询有限公司],1701073154000,7i4riOKLjlsr76M1Gh8PAA==,0
17,关于2023-2025年义乌市海绵城市建设技术服务项目的公开招标公告[浙江蓝顶工程咨询有限公司],1701053614000,GF8uJXlLC+zORp0MRWRtdg==,0
18,关于义乌市人民法院智慧法庭建设采购项目的公开招标公告[义乌市政府采购中心],1700815684000,UuZ//uu7dvyZs8IzAyuZcw==,0
19,关于浙江大学医学院附属第四医院后64排CT的公开招标公告[义乌市政府采购中心],1700813919000,fcnxdUOwkgm02oEkj2e56A==,0
20,关于义乌市涉案物资管理数字化应用采购项目的公开招标公告[浙江至诚工程咨询有限责任公司],1700640591000,gPzTzQgH0tIjkKJ7hY9ZVQ==,0
21,关于浙江省发展和改革委员会合肥至温州高速公路桐庐至义乌段前期工作技术服务的公开招标公告[浙江省成套招标代理有限公司],1700559796000,ANPmsScZ2mbLY/O4xqFxCw==,0
22,关于浙江省机电技师学院智能机器人实训基地建设项目的公开招标公告[义乌市政府采购中心],1700462906000,wdrXaGjkL5ncQWgGeaktiQ==,0
23,关于义乌市疾病预防控制中心全自动高精度病毒载量检测系统采购的公开招标公告[浙江开平企业管理咨询有限公司],1700461323000,sjoixjYg8bInk+GfJ534bw==,0
24,关于义乌“义路通”公路综合巡查特色场景建设采购项目的公开招标公告[浙江省成套招标代理有限公司],1700460163000,qznkQgvE+UWfFruhjjLrdQ==,0
25,关于义乌市首单知识产权证券化项目的公开招标公告[浙江至诚工程咨询有限责任公司],1700449076000,uE+C2h95PXF1svvyICQFAw==,0
26,关于义乌市中心医院、浙江大学医学院附属第四医院、义乌市中医医院医共体院区检验外送服务项目的公开招标公告[义乌市政府采购中心],1700210822000,geZaMmxTy5vf09FSkLdEdA==,0
27,关于义乌市水务局义乌江、南江水域保洁服务项目的公开招标公告[浙江诚远工程咨询有限公司],1700191433000,RSnXctJXLlxWYymMdIGo+w==,0
28,关于义乌市博物馆新馆、美术馆办公家具采购项目的公开招标公告[义乌市政府采购中心],1700123195000,kSRsA4Hckfix0jwWsqs0mw==,0
29,关于义乌市公安局交通警察大队2023年义乌市智能交通设施零星改建项目的公开招标公告[义乌市政府采购中心],1700036501000,IfY2RwDgtdWxTLshB5N9Kg==,0
30,关于义乌市中医医院彩色超声诊断仪采购项目的公开招标公告[义乌市政府采购中心],1700014239000,neGMpK+5nDuRSEVJb0eu2Q==,0
31,关于义乌市中医医院医共体北苑院区、城西院区彩色超声诊断仪采购项目的公开招标公告[义乌市政府采购中心],1700014233000,RUYwsJ5upgGKfYDNleOw/w==,0
32,关于义乌市人民法院语音识别建设采购项目的公开招标公告[浙江至诚工程咨询有限责任公司],1699952952000,GlzrQz+EniHUbjz+042lgQ==,0
33,关于义乌市福田街道2024年联港社区清扫保洁服务项目的公开招标公告[浙江至诚工程咨询有限责任公司],1699933260000,qDv4xYjNhLcNLSebKHJ1jg==,0
34,关于义乌市福田街道2024年诚信社区等社区两定四分点垃圾清运项目的公开招标公告[浙江至诚工程咨询有限责任公司],1699933253000,K8pZKfc4Lshc7TxTbZzCug==,0
35,关于浙江省机电技师学院上溪校区机房提升改造项目的公开招标公告[义乌市政府采购中心],1699859735000,Ih+uSlDI0u93wxQIBDc1UA==,0
36,关于2023年义乌城区道路交通安全设施维护及零星维修项目的公开招标公告[浙江至诚工程咨询有限责任公司],1699600106000,QF4ITdUZ77x1R9p2pXL86A==,0
37,关于义乌市供销合作社联合社农资储备服务项目的公开招标公告[浙江科信联合工程项目管理咨询有限公司],1699598608000,1FOpa+A30P0YQIy200k9zA==,0
38,关于义乌市中医医院电子胃肠镜采购项目的公开招标公告[义乌市政府采购中心],1699597882000,PxFfrw9OVIxqwcMYeMd64g==,0
39,关于义乌市中医医院医共体北苑院区胃肠镜采购项目的公开招标公告[义乌市政府采购中心],1699597722000,tCU63FbQ8TW8/N8d701UMw==,0
40,关于义乌市福田街道2024年诚信社区清扫保洁服务项目的公开招标公告[浙江至诚工程咨询有限责任公司],1699597009000,cgni9fU9lllfL1jHbtGeig==,0
41,关于义乌市人民法院指挥中心建设项目的公开招标公告[义乌市政府采购中心],1699515952000,Ez8Nqr5/4q99ZUBukBNcFg==,0
42,关于义乌市公安局2023年“雪亮工程”扩量项目监理项目的公开招标公告[义乌市政府采购中心],1699430768000,oopQtkUszVM79dKZI9pbYg==,0
43,关于义乌市机关后勤服务中心义乌行政6号楼、7号楼、海关西区模改数安防系统升级改造项目的公开招标公告[义乌市政府采购中心],1699430692000,m6hHbN00tev2+8B4r6u3TQ==,0
44,关于义乌市美术馆开馆展及配套服务采购项目的公开招标公告[浙江至诚工程咨询有限责任公司],1699428256000,BmDoedg+dUKo7jnHIGlyXw==,0
